עד תאריך	מתאריך	קובץ תמונה	תוכן3	תוכן2	תוכן1	כותרת
ג חשון	ג חשון	hafets.jpg			וכל זה שכתבנו הוא במספר יחידי או שומע יחידי. אבל אם הוא מדבק את עצמו לחבורת אנשי רשע ובעלי לשון הרע, כדי לספר ולשמוע מהם. עובר גם כן על לאו "לא תהיה אחרי רבים לרעות". שהוא אזהרה לא להסכים ולהתחבר עם עושי עוול אף על פי שהם רבים. ועין לקמן באות ו' במצות עשה, שעובר גם על מצות עשה על התחברות רעה זו.	הלכות לשון הרע, פתיחה – לאוין, יא
ה חשון	ה חשון	hafets.jpg			ואם הוא מחזיק במחלוקת על ידי סיפורו עובר גם על לאו (במדבר יז ה') של "לא יהיה כקורח וכעדתו" שהוא אזהרה לא להחזיק במחלוקת	הלכות לשון הרע, פתיחה – לאוין, יב
ז חשון	ו חשון				תקנו חכמים לשאול  (לבקש) מה' יתברך טל ומטר בימות הגשמים בברכת השנים. ובארץ ישראל מתחילין לשאול מליל שבעה במרחשון. כלומר, בתפילת ערבית יש להתחיל באמירת ברך עלינו, ותן טל ומטר לברכה. וברכת השנים היא ברכה כוללת על צרכי בני אדם הנצרכים לשפע שיושפע אליהם ממרומים. ובכלל הברכה עניין הפרנסה והברכה שתהיה שרויה בכל מעשה ידינו. הרוצה לבקש על פרנסתו מאת ה' יתברך בתוך ברכת השנים, רשאי לעשות כן, רק יזהר בלשונו שתהיה הבקשה מנוסחת היטב ובקצרה. ויוכל להוסיף את בקשתו לפני שמסיים כי אל טוב ומטיב אתה ומברך השנים. וברבים מן הסידורים, ישנו נוסח מתוקן לבקש על הפרנסה בברכת שמע קולינו.	ברכת השנים
ז אדר	ז אדר				בגמרא במסכת קדושין (לח.) מבואר כי ביום ז' אדר, שחל היום, נפטר משה רבינו עליו השלום. ומנהג חסידים ואנשי מעשה (הבריאים) להתענות ביום זה. וכמו שכתב מרן השלחן ערוך	יום ז' באדר
ז אב	י"ז תמוז		בשלוש השבתות של ימי בין המצרים מפטירים בנביא, לאחר קריאת התורה, שלוש הפטרות העוסקות בפורענות ובעונשים שיבואו על חטאי העם - תלתא דפורענותא (בשונה משבע דנחמתא). בימי בין המצרים חלים דיני אבלות על חורבן בית המקדש הראשון והשני, וככל שמתקרבים לתשעה באב - ביטויי האבל הולכים ומחמירים. (מתוך וויקיפדיה)	 הביטוי בין הַמְצָרִים מופיע במגילת איכה, המתארת את חורבן הבית הראשון ואת מצבה של ממלכת יהודה בעקבות החורבן: גָּלְתָה יְהוּדָה מֵעֹנִי, וּמֵרֹב עֲבֹדָה--הִיא יָשְׁבָה בַגּוֹיִם, לֹא מָצְאָה מָנוֹחַ, כָּל-רֹדְפֶיהָ הִשִּׂיגוּהָ, בֵּין הַמְּצָרִים. (איכה א, ג). גדולי המוסר דרשו על הפסוק שמתוך צערו של אדם ליבו מתעורר לחזרה בתשובה.	ימי בין המצרים הם שלושת השבועות שבין שבעה עשר בתמוז, היום שבו הובקעה חומת ירושלים, לתשעה באב, היום שבו חרב בית המקדש. ימים אלה מציינים את ימי הצרה והמצוקה הקשורים לחורבן, ונוהגים בהם מנהגי אבל ההולכים ומתגברים ככל שקרבים לתשעה באב.	ימי בין המצרים
י אב	ח אב		ובו ביום המוכן לפורענות, חרש טורנוסרופוס הרשע ממלכי אדום את ההיכל ואת סביביו, לקיים צִיּוֹן שָׂדֶה תֵחָרֵשׁ (ירמיהו כו,יח, מיכה ג,יב).	ונלכדה עיר גדולה ובית תור היה שמה, והיו בה אלפים ורבבות מישראל, (ביתר בזמן מרד בר כוכבא) והיה להם מלך גדול ודימו כל ישראל וגדולי החכמים שהוא המלך המשיח, ונפל ביד גויים ונהרגו כולם, והייתה צרה גדולה כמו חורבן המקדש, 	תשעה באב - חמישה דברים אירעו בו: נגזר על ישראל במדבר שלא ייכנסו לארץ (בעקבות חטא המרגלים), וחרב הבית בראשונה, ובשנייה (חרב בית המקדש השני), 	תשעה באב
ט"ז אב	ט"ו אב			בפרשה זו אנו מוצאים את הפרשה הראשונה בקריאת שמע ואת עשרת הדיברות. מפטירים בה בנחמת ישעיהו נחמו נחמו עמי[ישעיהו פרק מ'] זו ההפטרה הראשונה בסדרת שבע ההפטרות של הנחמה.	הפרשה השניה בספר דברים – מנין הפסוקים קיח הפרשה פותחת בתחינתו של משה רבינו להכנס לאי, ובדבריו אל בני ישראל הזוכים להיכנס אל הארץ. בפרשה מדובר על הנחיצות להזהר בעבודה זרה, תוך שהוא חוזר על מעמד הר סיני.	פרשת ואתחנן – שבת נחמו
ט"ו אב	י"ג אב			חזל מנו שישה אירועים שהתרחשו בתאריך זה. שניים מהם: מחילת מתי-מדבר והתרת נישואים בין השבטים. יש אומרים שכל הארועים מתקשרים לאהבה ואחדות ישראל ובכך מהווה טו באב תיקון של תשעה באב, בו נחרב בית המקדש בגלל שנאת חינם.	אָמַר רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל, לֹא הָיוּ יָמִים טוֹבִים לְיִשְׂרָאֵל כַּחֲמִשָּׁה עָשָׂר בְּאָב וּכְיוֹם הַכִּפּוּרִים, שֶׁבָּהֶן בְּנוֹת יְרוּשָׁלַיִם יוֹצְאוֹת בִּכְלֵי לָבָן שְׁאוּלִין, שֶׁלֹּא לְבַיֵּשׁ אֶת מִי שֶׁאֵין לוֹ. כָּל הַכֵּלִים טְעוּנִין טְבִילָה. וּבְנוֹת יְרוּשָׁלַיִם יוֹצְאוֹת וְחוֹלוֹת (רוקדות) בַּכְּרָמִים... – המשנה בסוף מסכת תענית.	טו באב
כ"ג אב	ט"ז אב		שני טעמים בדבר: הטעם הראשון, כתב החיי אדם (כלל כו אות ג) משום דהמתפלל השכינה כנגדו ואסור להפסיק בינו לשכינה. טעם שני, כתב המשנה ברורה (שם סק טו) דאסור לעבור, מפני שמבטל כונת המתפלל על ידי זה.	אם אחר שיפסע שלש פסיעות יכנס לתוך ארבע אמותיו, לא יפסע שלש פסיעות, אלא ימתין עד שאותו שעומד אחריו יסיים תפלתו. ואם אחר שיפסע שלש פסיעות יהיה מצדו של המתפלל מלפניו, בתוך ארבע אמותיו, ולא יהיה ממול פניו ממש, רשאי לפסוע שלש פסיעות. 	אסור לעבור כנגד המתפללים בתוך ד' אמות, והיינו תוך 1.92 מטר מהמתפלל. ואיסור זה הוא אפילו בזמן הזה שאין הכל מכוונים. ודוקא לפניהם, אבל בצדיהם מותר לעבור ולעמוד אפילו בתוך ד' אמותיהם. ולכן מי שסיים תפלתו, ומאחוריו עומד מי שלא סיים תפלתו,	מהלכות תפילה
כ אלול	כ"ה אב			חודש אלול והימים שבין ראש השנה ליום כיפור הם ימי רצון ורחמים וחשבון הנפש, והתפילה והתשובה מתקבלות בהם ביותר, לכן מרבים בתפילה ובסליחות ובמעשי צדקה באלול ובעשרת ימי התשובה. אופיים זה של ארבעים הימים האלו קשור בעלייתו של משה לשמים.	הסליחות הנאמרות באלול ובעשרת ימי תשובה, וגם בימי תענית שונים, הן פיוטים ותפילות שתוכנם בקשת סליחה ומחילה מד' על החטאים והעוונות שעשו בני ישראל. בפיוטים ובתפילות אלה משולבים פסוקים מהמקרא ורמזים למאמרי חזל המבטאים את רעיון התשובה וזכות האבות העומדת לבניהם, ובעיקר - מזכירים בהם כמה וכמה פעמים את שלוש עשרה המידות של הקדוש ברוך הוא. 	ימי הסליחות
כ"ה כסלו	א כסלו		אסור להשתמש לאור נרות חנוכה, ולכן אסור למנות מעות או לקרוא בספר לאורם של נרות אלו, ולאחר חצי שעה מזמן הדלקתם, מותר להשתמש באור הנרות לכל מה שירצה. 	כשמדליק נרות חנוכה בלילה הראשון, ידליק את הנר הקיצוני שבצד ימין, ובלילה השני ידליק את הנר הנוסף תחילה, ואחר כך ידליק את הנר שהודלק אתמול, ויוצא איפה שסדר הדלקת נרות חנוכה הוא משמאל לימין, כדי שיתחיל ההדלקה בנר החדש, שנוסף בגלל תוספת הנס שבתוספת הימים. 	כשמדליק נרות חנוכה צריך לדאוג שיהיה בנר די שמן כדי שידלוק לכל הפחות חצי שעה מזמן הדלקתו, וכן אם מדליק בנרות של שעווה, צריך להיזהר שיהיו הנרות גדולים כדי הצורך שידלקו לפחות חצי שעה מזמן הדלקתם אחר צאת הכוכבים (ומצויים נרות צבעוניים המותאמים במיוחד למנורות חנוכה קטנות, ואינם דולקים חצי שעה, ויש להיזהר שלא להדליק בהם.) 	דינים השייכים להדלקת נרות חנוכה
ו אדר 	א אדר		---> אינה מגילה כשרה אלא מגילה מודפסת, ויזדרז בקריאתו וימשיך עד מקום שהשליח ציבור קורא בו, ואז ישתוק וימשיך לשמוע הקריאה מפי השליח ציבור. אסור לאכול קודם קריאת המגילה, ולפיכך, נשים שאינן יכולות לבוא בזמן התפילה לבית הכנסת לשמוע קריאת המגילה, וממתינות עד שיחזרו האנשים מבית הכנסת, ורק אחר כך הן שומעות קריאת המגילה, צריכות להיזהר ביום פורים בבוקר, שלא לאכול עד אשר תשמענה בעצמן את קריאת המגילה. ומכל מקום מותר לשתות קפה או תה או לטעום פירות קודם קריאת המגילה. וכן מותר לאכול אף עוגה או 	בעת קריאת המגילה אסור לדבר בשום עניין עד לאחר הברכה שבסוף קריאת המגילה. ואם השומע את הקריאה עבר ודיבר דברים אחרים בעוד שהקורא ממשיך בקריאתו, לא יצא ידי חובתו, ודינו כדין מי שלא שמע חלק מקריאת המגילה.	כל אדם מישראל חייב בקריאת המגילה ביום הפורים, וצריך לקרותה בלילה ולשוב ולקרותה ביום, שנאמר אלוהי, אקרא יומם ולא תענה ולילה ולא דומיה לי. ופסוק זה נאמר בספר תהילים בפרק למנצח על אילת השחר ואמרו בגמרא (יומא כט.) שאסתר נמשלה לאיילת השחר. ואין חילוק בין האנשים לנשים לענין חיוב שמיעת קריאת המגילה, כי אף הנשים חייבות בקריאה זו כדין האנשים. ואף על פי שבקצת מקומות נהגו שהנשים אינן שומעות מקרא מגילה אלא בלילה, אבל ביום לא היו שומעות - אין לנהוג כן, ומצוה לבטל מנהג זה שאין לו כל יסוד בהלכה, ובודאי הונהג על ידי עמי הארץ שבאותם המקומות. וישתקע הדבר ולא יאמר. (טבעת המלך).	מהלכות מקרא מגילה
י אדר 	ח אדר		---> מלשמח לב עניים ויתומים ואלמנות וגרים, שהמשמח לה האומללים הללו, הרי הוא דומה לשכינה, שנאמר: להחיות רוח שפלים ולהחיות נפש נדכאים. ירא שמים ייתן מתנות לאביונים בעין יפה ובסבר פנים יפות, והנה שכרו ופעולתו לפניו, ואין קצבה במעות פורים, כי מן הדין די בנתינת פרוטה, שהוא סכום הקטן שיש בכל מקום (וכגון בארץ ישראל מטבע של עשר אגורות), ומכל מקום כאמור עדיף להרבות במתנות לאביונים מלהרבות בסעודת פורים ובמשלוח מנות.	ופירוש הדבר שתי מנות היינו שני מאכלים שונים, או מאכל ומשקה, כגון עוגה ובקבוק יין, והמנהג כיום לשלוח מיני מתיקה למשלוח מנות. וגם נשים חייבות לשלוח לחברותיהן משלוח מנות. כתב הרמבם (הלכות מגילה פרק ב.) חייב אדם לשלוח לחברו שתי מנות בשר, או שני מיני תבשיל, או שני מיני אכלים, שנאמר: ומשלוח מנות איש לרעהו, שתי מנות לאיש אחד, וכל המרבה לשלוח לרעים הרי זה משובח. וחייב לחלק לעניים מעות או מיני אכלים ביום הפורים, לא פחות משני עניים, שנותן לכל אחד מתנה אחת, שנאמר: ומתנות לאביונים. ומוטב לאדם להרבות במתנות לאביונים יותר מלהרבות בסעודתו ובמשלוח מנות לחברים, שאין שמחה גדולה מפוארה יותר ---> המשך	נאמר במגילת אסתר (ט. כב.) לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים. ובגמרא במסכת מגילה (דף ז.) אמרו משלוח מנות שתי מנות לאיש אחד ומתנות לאביונים שתי מתנות לשני בני אדם.	דין משלוח מנות ומתנות לאביונים
יד אדר	י אדר		ומעוברת שאמרו שפטורה להתענות, הכוונה לאישה שכבר עברו עליה שלושה חודשים להריונה, ומכל מקום אם סובלת ממיחושים והקאות יכולה להקל גם בטרם מלאת שלושה חודשים להריונה, ובפרט לאחר ארבעים יום ליצירת הולד.	ולכן נהגו בכל תפוצות ישראל להתענות ביום זה בכל שנה ושנה, זכר לנס שנעשה להם. וצום זה נקרא תענית אסתר.	בימי מרדכי ואסתר התאספו היהודים בשלושה עשר לחודש אדר לעמוד על נפשם מפני אויביהם ושונאיהם, והיו צריכים וזקוקים לרחמי שמים מרובים, לבל יוכלו אויביהם לפגוע בהם, ועמדו בתפילה ובתחנונים וישבו בתענית באותו יום, כשם שעשה משה רבינו ביום שנלחם עם עמלק שעמד בתפילה ובתענית, וגבר ישראל. וה' יתברך אלוקי אבותינו שמע תחינתם וקיבל תשובתם ותעניתם ברצון, וביום אשר שברו (חשבו) אויבי היהודים לשלוט בהם, ונהפוך הוא, אשר ישלטו היהודים המה בשונאיהם, והרגו היהודים בשונאיהם שבעים וחמש אלף איש, מלבד שהרגו בשונאיהם בשושן הבירה, ולא נהרג אף אחד מישראל, כי לא בחיל ולא בכוח כי אם ברוחי אמר ה' צבאות.	תענית אסתר
							
