עד תאריך	מתאריך	קובץ תמונה	תוכן3	תוכן2	תוכן1	כותרת
ט חשון	ט חשון	hafets.jpg			"אם מדובר ביתום או אלמנה, אפילו אם הם עשירים, וסיפור גנותם מצער אותם, עובר גם על ""כל אלמנה ויתום לא תענון"". התורה החמירה מאוד שלא להקניטם או להכאיב להם."	הלכות לשון הרע, פתיחה – לאוין, טו
י חשון	י חשון	hafets.jpg			לפעמים עובר גם על איסור חנופה, כגון שמספר לשון הרע כדי למצוא חן בעיני השומע, או שמסכים לדברי המספר אף שיודע שהם אסורים. חובה לא להחניף לעוברי עבירה ולא לחזק שנאה.	הלכות לשון הרע, פתיחה – לאוין, טז
י״א חשון	י״א חשון	hafets.jpg			"לפעמים מצוי עוד לאו של ""לא תקלל חרש"", כאשר מתוך כעס על אדם המספר בא לידי קללה. אם התורה אסרה לקלל אפילו מי שאינו שומע, כל שכן שיש להיזהר בדיבור על כל אדם."	הלכות לשון הרע, פתיחה – לאוין, יז
י״ב חשון	י״ב חשון	hafets.jpg			"המספר לשון הרע עובר על מצוות עשה של ""זכור את אשר עשה ה׳ אלוהיך למרים"". עלינו לזכור שמרים הצדקת נענשה אף שכוונתה היתה לטובה, ומזה נלמד חומרת הדיבור."	הלכות לשון הרע, פתיחה – עשין, א
י״ג חשון	י״ג חשון	hafets.jpg			"המספר או המקבל לשון הרע מבטל מצוות ""ואהבת לרעך כמוך"". אדם שאוהב את חברו אינו רוצה בגנותו ואינו שמח לשמוע או לפרסם חסרונותיו."	הלכות לשון הרע, פתיחה – עשין, ב
י״ד חשון	י״ד חשון	hafets.jpg			"לעיתים עובר גם על ""בצדק תשפוט עמיתך"". כאשר אפשר לפרש מעשה של אדם לכף זכות, אין להכריעו לגנאי ולספר עליו, אלא לדון אותו ביושר וברחמים."	הלכות לשון הרע, פתיחה – עשין, ג
ט״ו חשון	ט״ו חשון	hafets.jpg			אם על ידי הסיפור איבד חברו את פרנסתו, כגון שפרסם עליו שאינו נאמן או אינו מקצועי, עובר גם על החובה להחזיק את חברו ולא לגרום לו הפסד וצער.	הלכות לשון הרע, פתיחה – עשין, ד
ט״ז חשון	ט״ז חשון	hafets.jpg			"לפעמים המקבל לשון הרע עובר על מצוות ""הוכח תוכיח"". אם יכול להפסיק את המספר או להראות לו שאסור לדבר כך ואינו עושה זאת, הוא נכשל בשתיקה במקום תוכחה."	הלכות לשון הרע, פתיחה – עשין, ה
י״ז חשון	י״ז חשון	hafets.jpg			"מי שיושב עם בעלי לשון הרע ומתחבר אליהם עובר על מצוות ""ובו תדבק"", שכן עליו להידבק בטובים ובתלמידי חכמים ולא בחבורה שמרגילה לדיבור אסור."	הלכות לשון הרע, פתיחה – עשין, ו
י״ח חשון	י״ח חשון	hafets.jpg			"אם מדבר לשון הרע בבית הכנסת או בבית המדרש, עובר גם על ""ומקדשי תיראו"". מקום קדוש מחייב זהירות גדולה יותר בדיבור, במחשבה ובכבוד המקום."	הלכות לשון הרע, פתיחה – עשין, ז
י״ט חשון	י״ט חשון	hafets.jpg			"אם סיפר לשון הרע על זקן או תלמיד חכם וגינה אותו בפניו, עובר על ""והדרת פני זקן"". מצווה לכבד את הזקן, והדיבור בגנותו הוא היפך הכבוד."	הלכות לשון הרע, פתיחה – עשין, ח
כ חשון	כ חשון	hafets.jpg			"המספר לשון הרע על כהן וגינה אותו בכך עובר על ""וקדשתו"". התורה ציוותה לנהוג כבוד בכהנים, והמבזה אותם בדיבור מבטל כבוד זה."	הלכות לשון הרע, פתיחה – עשין, ט
כ״א חשון	כ״א חשון	hafets.jpg			"אם מספר לשון הרע על אחיו הגדול או על מי שחייב בכבודו מצד אביו ואמו, עובר גם על מצוות כיבוד אב ואם שנלמדת מריבוי ""ואת""."	הלכות לשון הרע, פתיחה – עשין, י
כ״ב חשון	כ״ב חשון	hafets.jpg			"המספר לשון הרע עובר על ""את ה׳ אלוהיך תירא"". מי שמפקיר את דיבורו שוכח שהקב״ה משגיח על כל מעשה ודיבור ודן את האדם לפי חומרת מעשיו."	הלכות לשון הרע, פתיחה – עשין, יא
כ״ג חשון	כ״ג חשון	hafets.jpg			בשעה שאדם מדבר לשון הרע הוא גם מבטל מצוות תלמוד תורה, ששכרה גדול מאוד והיא שקולה כנגד כל המצוות. במקום דיבור אסור עליו לעסוק בדברי תורה.	הלכות לשון הרע, פתיחה – עשין, יב
כ״ד חשון	כ״ד חשון	hafets.jpg			"אם בתוך הסיפור נתערב אפילו מקצת שקר, עובר גם על ""מדבר שקר תרחק"" ונעשה בגדר מוציא שם רע. חומרתו גדולה מלשון הרע הנאמרת על דבר אמת."	הלכות לשון הרע, פתיחה – עשין, י״ג
כ״ה חשון	כ״ה חשון	hafets.jpg			"עוד עובר על ""והלכת בדרכיו"". הקב״ה רחום וחנון וגומל חסדים, ואדם שמרגיל עצמו לדבר בגנות הבריות מתרחק מן המידות הטובות."	הלכות לשון הרע, פתיחה – עשין, י״ד
כ״ו חשון	כ״ו חשון	hafets.jpg			"המספר לשון הרע נוגע גם בארורים שנאמרו בתורה, כגון ""ארור מכה רעהו בסתר"" ו""ארור משגה עיוור בדרך"", כי הדיבור הרע פוגע בסתר ומכשיל אחרים."	הלכות לשון הרע, פתיחה – ארורין
כ״ז חשון	כ״ז חשון	hafets.jpg			"אסור לספר דבר גנות על חברו אפילו אם הגנות אמת. זהו לשון הרע, והמספר עובר על ""לא תלך רכיל בעמך"" כאשר הוא מפרסם דבר המבזה את חברו."	הלכות לשון הרע, כלל א, סעיף א׳
כ״ח חשון	כ״ח חשון	hafets.jpg			האיסור המפורש של לשון הרע אינו היחיד; על ידי סיפור לשון הרע עלול אדם לעבור על עוד הרבה לאוין ועשין, ולכן צריך זהירות גדולה מאוד.	הלכות לשון הרע, כלל א, סעיף ב׳
כ״ט חשון	כ״ט חשון	hafets.jpg			המספר לשון הרע במקרה עובר באיסור, ואם הורגל בכך בקביעות חטאו חמור יותר. הרגל של ישיבה וסיפור גנאי על אנשים הוא קלקול גדול.	הלכות לשון הרע, כלל א, סעיף ג׳
ל חשון	ל חשון	hafets.jpg			חז״ל אמרו שלשון הרע שקול כנגד עבירות חמורות. לכן אין להקל בו גם כאשר נראה כדיבור רגיל, כי כוחו להזיק גדול מאוד.	הלכות לשון הרע, כלל א, סעיף ד׳
"כ""ה כסלו"	א כסלו		אסור להשתמש לאור נרות חנוכה, ולכן אסור למנות מעות או לקרוא בספר לאורם של נרות אלו, ולאחר חצי שעה מזמן הדלקתם, מותר להשתמש באור הנרות לכל מה שירצה. 	כשמדליק נרות חנוכה בלילה הראשון, ידליק את הנר הקיצוני שבצד ימין, ובלילה השני ידליק את הנר הנוסף תחילה, ואחר כך ידליק את הנר שהודלק אתמול, ויוצא איפה שסדר הדלקת נרות חנוכה הוא משמאל לימין, כדי שיתחיל ההדלקה בנר החדש, שנוסף בגלל תוספת הנס שבתוספת הימים. 	כשמדליק נרות חנוכה צריך לדאוג שיהיה בנר די שמן כדי שידלוק לכל הפחות חצי שעה מזמן הדלקתו, וכן אם מדליק בנרות של שעווה, צריך להיזהר שיהיו הנרות גדולים כדי הצורך שידלקו לפחות חצי שעה מזמן הדלקתם אחר צאת הכוכבים (ומצויים נרות צבעוניים המותאמים במיוחד למנורות חנוכה קטנות, ואינם דולקים חצי שעה, ויש להיזהר שלא להדליק בהם.) 	דינים השייכים להדלקת נרות חנוכה
כ״ו כסלו	כ״ו כסלו	hafets.jpg			אין הבדל אם אדם מספר מעצמו או שחברו שכנע אותו לספר. גם אם אביו או רבו ביקשו ממנו לספר גנאי, אסור לו לעבור על איסור לשון הרע.	הלכות לשון הרע, כלל א, סעיף ה׳
כ״ז כסלו	כ״ז כסלו	hafets.jpg			אפילו אם הימנעות מלשון הרע תגרום הפסד בפרנסה או אי נעימות, אסור לספר. מצוות התורה עומדת גם מול לחץ והפסד.	הלכות לשון הרע, כלל א, סעיף ו׳
כ״ח כסלו	כ״ח כסלו	hafets.jpg			אם אדם יושב בין אנשים שמדברים דיבורים אסורים ואין לו דרך לצאת, עליו להימנע מלהשתתף. מוטב שיראה שונה בעיני אחרים ולא ייכשל בדיבור אסור.	הלכות לשון הרע, כלל א, סעיף ז
כ״ט כסלו	כ״ט כסלו	hafets.jpg			איסור לשון הרע שייך גם בכתיבה וברמז, לא רק בדיבור מפורש. כל דרך שבה מתפרסם גנותו של אדם בכלל האיסור.	הלכות לשון הרע, כלל א, סעיף ח ט
ל כסלו	ל כסלו	hafets.jpg			אסור לספר לשון הרע אפילו בפני אדם יחיד, וככל שמתרבים השומעים גדל העוון, מפני שהגנות מתפרסמת יותר ומכשילים יותר אנשים.	הלכות לשון הרע, כלל ב, סעיף א
א טבת	א טבת	hafets.jpg			ההיתר שנזכר לגבי דבר שנאמר בפני שלושה אינו היתר גמור לספר גנות, אלא נאמר בדבר שאינו גנאי גמור ומשתמע לשני פנים, ותלוי בדרך האמירה.	הלכות לשון הרע, כלל ב, סעיף ב
ב טבת	ב טבת	hafets.jpg			גם כאשר סיפור נאמר בפני שלושה, יש להיזהר מאוד שלא להסיק מכך היתר גורף. עצם המספר עבר, והמשך ההפצה תלוי בפרטים רבים.	הלכות לשון הרע, כלל ב, סעיף ג
ג טבת	ג טבת	hafets.jpg			גם במקום שיש צד היתר למה שנאמר בפני שלושה, הוא נאמר רק למי ששמע בעצמו, ולא למי ששמע מאחד מהם, אלא אם הדבר כבר נתפרסם לגמרי.	הלכות לשון הרע, כלל ב, סעיף ד
ד טבת	ד טבת	hafets.jpg			אם שלושת השומעים הם יראי אלוקים שנזהרים מלדבר לשון הרע, אין לומר שהדבר יתפרסם מאליו, ולכן אין להתיר להפיץ את הסיפור.	הלכות לשון הרע, כלל ב, סעיף ה
ה טבת	ה טבת	hafets.jpg			"היתר ""בפני שלושה"" נאמר דווקא באותה העיר ובתנאים מסוימים, ולא בעיר אחרת שבה הדבר אינו מפורסם."	הלכות לשון הרע, כלל ב, סעיף ו
ו טבת	ו טבת	hafets.jpg			אם המספר הזהיר את השומעים שלא לגלות, אסור לספר הלאה. גם כאשר אחרים עלולים לגלות, אין זה מתיר לאדם להיות המפרסם.	הלכות לשון הרע, כלל ב, סעיף ז
ז טבת	ז טבת	hafets.jpg			אין חילוק בלשון האזהרה: אם נאמר שלא לדבר או שלא יוודע מהם הדבר, בכל האופנים אסור לגלות לאדם אחר.	הלכות לשון הרע, כלל ב, סעיף ח
ח טבת	ח טבת	hafets.jpg			גם כאשר אין איסור בעצם החזרה על סיפור שנודע ברבים, אסור להוסיף אפילו מילה אחת או להטעים את הסיפור באופן שמגדיל את הגנות.	הלכות לשון הרע, כלל ב, הלכה ט
ט טבת	ט טבת	hafets.jpg			היתר סיפור שנאמר בפני שלושה אינו שייך אם ברור שהשומע יקבל את הסיפור כאמת או יוסיף ממנו גנאי. אין לגרום קלקול אצל השומע.	הלכות לשון הרע, כלל ב, הלכה י
י טבת	י טבת	hafets.jpg			אדם שהיה בדיון של טובי העיר אינו רשאי לגלות שהחלטה התקבלה בניגוד לדעתו כדי להטיל דופי בחבריו. זה בכלל רכילות ולשון הרע.	הלכות לשון הרע, כלל ב, סעיף י״א
י״א טבת	י״א טבת	hafets.jpg			אסור ללעוג לדרשן ולומר שאין בדרשותיו ממש. לעג כזה נחשב לשון הרע ופוגע בכבוד הבריות ובכבוד התורה.	הלכות לשון הרע, כלל ב, סעיף י״ב
י״ב טבת	י״ב טבת	hafets.jpg			כאשר אדם מגלה פרטים עסקיים בפני שלושה, יש לדון בזהירות אם רצה שיתפרסמו. אין לפרסם דברים שעלולים לגרום נזק או צער.	הלכות לשון הרע, כלל ב, סעיף י״ג
י״ג טבת	י״ג טבת	hafets.jpg			איסור לשון הרע הוא גם בדבר אמת, בין בסתר ובין בפניו. עצם פרסום הגנות הוא האיסור, ולא רק שקר או המצאה.	הלכות לשון הרע, כלל ג, סעיף א׳
י״ד טבת	י״ד טבת	hafets.jpg			דבר המשתמע לשני פנים תלוי בדרך אמירתו. אם נאמר באופן שמכוון לגנות, אף שאפשר לפרשו לטובה, יש בו חשש לשון הרע.	הלכות לשון הרע, כלל ג, סעיף ב׳
ט״ו טבת	ט״ו טבת	hafets.jpg			אסור לספר לשון הרע גם בלי שנאה ומתוך שחוק וקלות ראש. כיוון שהדברים הם דברי גנאי, הם אסורים מן התורה.	הלכות לשון הרע, כלל ג, סעיף ג
ט״ז טבת	ט״ז טבת	hafets.jpg			גם אם אינו מזכיר את שם האדם במפורש, אך השומע מבין מתוך הסיפור על מי מדובר, הדבר בכלל לשון הרע.	הלכות לשון הרע, כלל ג, סעיף ד
י״ז טבת	י״ז טבת	hafets.jpg			יש דיבורי לשון הרע הנאמרים כאילו לפי תומם, כאשר המספר מעמיד פנים שאינו מבין שהסיפור כולל גנאי. גם זו דרך אסורה.	הלכות לשון הרע, כלל ג, סעיף ה
י״ח טבת	י״ח טבת	hafets.jpg			גם אם לא נגרם נזק בפועל למי שסופר עליו, כגון שהשומעים לא קיבלו את הדברים, הסיפור עדיין נחשב לשון הרע וצריך כפרה.	הלכות לשון הרע, כלל ג, סעיף ו
י״ט טבת	י״ט טבת	hafets.jpg			בענייני דין לכף זכות יש כלל גדול: כאשר רואים אדם עושה מעשה שאפשר לפרשו בכמה דרכים, צריך לבחון לפי מדרגת האדם והנסיבות ולא למהר לגנות.	הלכות לשון הרע, כלל ג, הלכה ז׳
כ טבת	כ טבת	hafets.jpg			גם במקום שבו הכף נוטה לחובה ואין חובה גמורה לדון לזכות, אין למהר לבזות את האדם אצל אחרים. בין מחשבה פנימית לפרסום יש הבדל גדול.	הלכות לשון הרע, כלל ג, הלכה ח׳
כ״א טבת	כ״א טבת	hafets.jpg			אסור לספר על חברו דבר שיתבזה בו, גם כאשר ראה אותו מתנהג שלא כדין בענייני מצוות. אין להפוך ידיעה על חטא לפרסום גנות.	הלכות לשון הרע, כלל ד, סעיף א׳
כ״ב טבת	כ״ב טבת	hafets.jpg			אין חילוק אם מדובר באיסור לאו או עשה הידוע לרבים. כאשר הפרסום יבזה את האדם, יש להיזהר מאוד שלא לספר.	הלכות לשון הרע, כלל ד, סעיף ב׳
כ״ג טבת	כ״ג טבת	hafets.jpg			דין לכף זכות מתחלק לפי סוג האדם והמעשה. באדם בינוני שנכשל לפעמים יש לחפש אפשרות שטעה, לא התכוון או לא ידע.	הלכות לשון הרע, כלל ד, סעיף ג׳
כ״ד טבת	כ״ד טבת	hafets.jpg			בעבירה חמורה שידועה לכל, הדין משתנה לפי מצב האדם: אם בדרך כלל הוא נזהר, יש מקום לתלות שנכשל במקרה ולא לפרסמו לגנאי.	הלכות לשון הרע, כלל ד, סעיף ד׳
כ״ה טבת	כ״ה טבת	hafets.jpg			כאשר מדובר בלץ שאינו מקבל תוכחה ועלול להכשיל אחרים, לפעמים נכון למסור הדבר לדייני העיר או למי שיכול לתקן, ולא לפרסם סתם.	הלכות לשון הרע, כלל ד, סעיף ה׳
כ״ו טבת	כ״ו טבת	hafets.jpg			באדם שחוזר על מעשיו ואם רבו יכול להשפיע עליו, ייתכן שמותר לגלות לרבו לשם תיקון. ההיתר תלוי בכוונה לתועלת ולא בגנות.	הלכות לשון הרע, כלל ד, סעיף ו׳
כ״ז טבת	כ״ז טבת	hafets.jpg			החובה לדון לכף זכות נאמרה באדם שמנהגו להתחרט על חטאיו. במי שפרק עול ומחזיק ברשע, הדין שונה בפרטים מסוימים.	הלכות לשון הרע, כלל ד, סעיף ז׳
כ״ח טבת	כ״ח טבת	hafets.jpg			כאשר בית דין פסק לאדם דין והוא מסרב לקיים, יש מצבים שמותר לספר גנותו כדי להביאו לקיום הדין. גם אז צריך תנאי תועלת וזהירות.	הלכות לשון הרע, כלל ד, סעיף ח׳
כ״ט טבת	כ״ט טבת	hafets.jpg			אסור לספר על אדם שהוא בעל מידה רעה, כגון גאווה או כעס, גם אם רואים שהורגל בכך. פרסום מידות רעות עלול להיות לשון הרע.	הלכות לשון הרע, כלל ד, סעיף ט׳
א שבט	א שבט	hafets.jpg			מותר לפעמים להזהיר בן או תלמיד שלא להתחבר לאדם שמעשיו רעים, כאשר הכוונה להצילם שילמדו ממעשיו ולא לבזות את אותו אדם.	הלכות לשון הרע, כלל ד, סעיף י׳
ב שבט	ב שבט	hafets.jpg			לפני שידוך, עבודה או שותפות מותר לברר פרטים הנצרכים לתועלת, אך צריך לכוון לתועלת בלבד ולשאול ולענות בזהירות לפי הדין.	הלכות לשון הרע, כלל ד, סעיף י״א
ג שבט	ג שבט	hafets.jpg			מי שעבר וסיפר לשון הרע ורוצה לשוב, אם השומעים דחו את דבריו ולא נגרם גנאי, עליו לתקן בעיקר בין אדם למקום ולקבל לעתיד.	הלכות לשון הרע, כלל ד, סעיף י״ב
ד שבט	ד שבט	hafets.jpg			כשם שאסור לבזות בעניינים שבין אדם למקום, כך אסור לבזות בעניינים שבין אדם לחברו, אפילו אם הדבר אמת.	הלכות לשון הרע, כלל ה, סעיף א׳
ה שבט	ה שבט	hafets.jpg			אסור לבזות אדם מצד חסרון במעלותיו, כגון חכמה או עושר. גם דיבור על חוסר כישרון או חוסר הצלחה יכול להיות לשון הרע.	הלכות לשון הרע, כלל ה, סעיף ב׳
ו שבט	ו שבט	hafets.jpg			כנגד פיתוי היצר לומר שזה אינו לשון הרע, יחשוב האדם כיצד היה מרגיש אילו פרסמו עליו עצמו דברים כאלה.	הלכות לשון הרע, כלל ה, סעיף ג ד
ז שבט	ז שבט	hafets.jpg			אסור לספר על אדם שהוא חלש או חסר גבורה כאשר יכול להיגרם לו נזק, כגון בפרנסה או במעמדו. גם חסרונות גופניים בכלל האיסור.	הלכות לשון הרע, כלל ה, סעיף ה׳
ח שבט	ח שבט	hafets.jpg			בדיני לשון הרע תלוי גם על מי מדברים: דבר שנחשב שבח לאדם אחד עלול להיות גנאי לאדם אחר, לפי מצבו ותפקידו.	הלכות לשון הרע, כלל ה, סעיף ו׳
ט שבט	ט שבט	hafets.jpg			כשם שאסור להוציא דיבה על אדם, כך אסור להוציא דיבה על חפציו או עסקיו. דיבור שפוגע במסחרו של חברו הוא לשון הרע.	הלכות לשון הרע, כלל ה, סעיף ז׳
י שבט	י שבט	hafets.jpg			איסור לשון הרע הוא אפילו על אמת ובפני יחיד, וכל שכן בפני שניים, מפני שהשומעים מאמינים יותר ונגרם יותר בוז למי שמסופר עליו.	הלכות לשון הרע, כלל ה, סעיף ח׳
י״א שבט	י״א שבט	hafets.jpg			אסור לקבל לשון הרע בלב כאמת, בין בדברים שבין אדם למקום ובין שבין אדם לחברו. קבלה בלב גורמת לביזוי האדם בעיני השומע.	הלכות לשון הרע, כלל ו, סעיף א׳
י״ב שבט	י״ב שבט	hafets.jpg			גם שמיעת לשון הרע בלבד אסורה מן התורה כאשר אדם מטה אוזן לשמוע. יש הבדל בין שמיעה לקבלה, אך שתיהן דורשות זהירות.	הלכות לשון הרע, כלל ו, סעיף ב׳
י״ג שבט	י״ג שבט	hafets.jpg			כאשר צריך לברר על שותף או עניין מעשי, יש דרך מותרת לברר לתועלת. אין לשמוע גנות מתוך סקרנות אלא רק לצורך אמיתי ובזהירות.	הלכות לשון הרע, כלל ו, סעיף ג׳
י״ד שבט	י״ד שבט	hafets.jpg			לפעמים מצווה לשמוע כדי להציל, כגון שיוכל ללמד זכות, למנוע נזק או להפריך את הגנות. הכוונה צריכה להיות לתועלת ולא לקבלת הגנאי.	הלכות לשון הרע, כלל ו, סעיף ד׳
ט״ו שבט	ט״ו שבט	hafets.jpg			אם כבר יושב בחבורה והתחילו לדבר לשון הרע, עליו להוכיח אם יכול, או להתרחק אם אפשר. אם אינו יכול, יזהר שלא לקבל ולא להשתתף.	הלכות לשון הרע, כלל ו, סעיף ה׳
ט״ז שבט	ט״ז שבט	hafets.jpg			אם בשעה שבא לשבת איתם כבר דיברו דיבורים אסורים, או שהוא יכול להישמט מהם, אסור לו להישאר ולהקשיב.	הלכות לשון הרע, כלל ו, סעיף ו׳
י״ז שבט	י״ז שבט	hafets.jpg			גם אם הדברים ששמע אמת, כאשר אפשר לדון לכף זכות אסור לקבלם לגנאי. חובה לבחון אפשרות שהמעשה אינו רע כפי שסופר.	הלכות לשון הרע, כלל ו, סעיף ז׳
י״ח שבט	י״ח שבט	hafets.jpg			באיש בינוני וכל שכן ירא אלוקים, יש מצווה לדון לכף זכות יותר. לכן אין לקבל עליו סיפור גנאי בלי בירור והבנה נכונה.	הלכות לשון הרע, כלל ו, סעיף ח׳
י״ט שבט	י״ט שבט	hafets.jpg			איסור קבלת לשון הרע שייך גם על דברים שעשה בעבר. אין להחליט בלב שהגנאי אמת רק מפני ששמעו אותו מאדם אחר.	הלכות לשון הרע, כלל ו, סעיף ט׳
כ שבט	כ שבט	hafets.jpg			אף שאסור לקבל לשון הרע כאמת, מותר לחשוש לצורך שמירה וזהירות. החשש הוא מעשי בלבד, לא החלטה שהדבר אמת.	הלכות לשון הרע, כלל ו, סעיף י׳
כ״א שבט	כ״א שבט	hafets.jpg			כאשר מותר לחשוש, ההיתר הוא רק כדי לשמור את עצמו או אחרים, ולא כדי להזיק, לבזות או להאמין בלב לסיפור.	הלכות לשון הרע, כלל ו, סעיף י״א
כ״ב שבט	כ״ב שבט	hafets.jpg			מי שכבר שמע והאמין ללשון הרע צריך להוציא הדברים מלבו, לא להאמינם, לקבל על עצמו להיזהר בעתיד, ולתקן ככל יכולתו.	הלכות לשון הרע, כלל ו, סעיף י״ב
כ״ג שבט	כ״ג שבט	hafets.jpg			גם אם הסיפור נאמר בפרסום לפני רבים, אסור להחליט שהוא אמת. אפשר רק לחשוש ולברר, ואם יתברר כדין לפעול לפי הצורך.	הלכות לשון הרע, כלל ז, סעיף א׳
כ״ד שבט	כ״ד שבט	hafets.jpg			אין היתר להאמין ללשון הרע גם אם המספר אמר זאת בפני האדם שעליו מדובר, כל עוד לא שמענו הודאה ממנו ואין בירור אמיתי.	הלכות לשון הרע, כלל ז, סעיף ב׳
כ״ה שבט	כ״ה שבט	hafets.jpg			כשם שאסור לקבל לשון הרע מאחד, כך אסור לקבל משניים או יותר. ריבוי המספרים אינו הופך את הגנות לאמת ודאית.	הלכות לשון הרע, כלל ז, סעיף ג׳
כ״ו שבט	כ״ו שבט	hafets.jpg			גם אם יצא קול על אדם שעשה דבר שלא כראוי, אסור לקבל ולהאמין לקול. מותר רק לחשוש עד שיתברר הדבר.	הלכות לשון הרע, כלל ז, סעיף ד׳
כ״ז שבט	כ״ז שבט	hafets.jpg			לגבי אדם שהוחזק כרשע בעבירות ידועות יש פרטי דין מיוחדים, אך אין ללמוד מכך היתר כללי לקבל לשון הרע על כל אדם.	הלכות לשון הרע, כלל ז, סעיף ה׳
כ״ח שבט	כ״ח שבט	hafets.jpg			אם אדם סיפר דבר שיש בו גנאי עליו ועל חברו, מותר להאמין לו רק לגבי עצמו, אך לא לגבי חברו שעליו אין לו נאמנות.	הלכות לשון הרע, כלל ז, סעיף ו׳
כ״ט שבט	כ״ט שבט	hafets.jpg			"מרגל בחברו עובר בלא תעשה שנאמר (ויקרא י""ט ט""ז) :""לא תלך רכיל בעמך"". איזהו רכיל? זה שטוען דברים והולך מזה לזה ואומר : כך אמר פלוני עליך. וכך וכך שמעתי על פלוני שעשה לך. אף על פי שהוא אמת, הרי זה מחריב את העולם. ויש עוון גדול מזה עד מאוד והוא לשון הרע והוא בכלל לאו זה. והוא המספר בגנות חברו אף על פי שאומר אמת. אבל האומר שקר נמצא מוציא שם רע על חברו."	הלכות לשון הרע, פתיחה – לאוין, א
ל שבט	ל שבט	hafets.jpg			"ועובר גם המספר או המקבל בלאו (שמות כ""ג א') של ""לא תשא שמע שוא"" וקרוי גם ""לא תשיא"", ואם כן לאו זה כולל את שניהם, המספר והמקבל."	הלכות לשון הרע, פתיחה – לאוין, ב
ו אדר 	א אדר		---> אינה מגילה כשרה אלא מגילה מודפסת, ויזדרז בקריאתו וימשיך עד מקום שהשליח ציבור קורא בו, ואז ישתוק וימשיך לשמוע הקריאה מפי השליח ציבור. אסור לאכול קודם קריאת המגילה, ולפיכך, נשים שאינן יכולות לבוא בזמן התפילה לבית הכנסת לשמוע קריאת המגילה, וממתינות עד שיחזרו האנשים מבית הכנסת, ורק אחר כך הן שומעות קריאת המגילה, צריכות להיזהר ביום פורים בבוקר, שלא לאכול עד אשר תשמענה בעצמן את קריאת המגילה. ומכל מקום מותר לשתות קפה או תה או לטעום פירות קודם קריאת המגילה. וכן מותר לאכול אף עוגה או 	בעת קריאת המגילה אסור לדבר בשום עניין עד לאחר הברכה שבסוף קריאת המגילה. ואם השומע את הקריאה עבר ודיבר דברים אחרים בעוד שהקורא ממשיך בקריאתו, לא יצא ידי חובתו, ודינו כדין מי שלא שמע חלק מקריאת המגילה.	כל אדם מישראל חייב בקריאת המגילה ביום הפורים, וצריך לקרותה בלילה ולשוב ולקרותה ביום, שנאמר אלוהי, אקרא יומם ולא תענה ולילה ולא דומיה לי. ופסוק זה נאמר בספר תהילים בפרק למנצח על אילת השחר ואמרו בגמרא (יומא כט.) שאסתר נמשלה לאיילת השחר. ואין חילוק בין האנשים לנשים לענין חיוב שמיעת קריאת המגילה, כי אף הנשים חייבות בקריאה זו כדין האנשים. ואף על פי שבקצת מקומות נהגו שהנשים אינן שומעות מקרא מגילה אלא בלילה, אבל ביום לא היו שומעות - אין לנהוג כן, ומצוה לבטל מנהג זה שאין לו כל יסוד בהלכה, ובודאי הונהג על ידי עמי הארץ שבאותם המקומות. וישתקע הדבר ולא יאמר. (טבעת המלך).	מהלכות מקרא מגילה
ז אדר	ז אדר				בגמרא במסכת קדושין (לח.) מבואר כי ביום ז' אדר, שחל היום, נפטר משה רבינו עליו השלום. ומנהג חסידים ואנשי מעשה (הבריאים) להתענות ביום זה. וכמו שכתב מרן השלחן ערוך	יום ז' באדר
י אדר 	ח אדר		---> מלשמח לב עניים ויתומים ואלמנות וגרים, שהמשמח לה האומללים הללו, הרי הוא דומה לשכינה, שנאמר: להחיות רוח שפלים ולהחיות נפש נדכאים. ירא שמים ייתן מתנות לאביונים בעין יפה ובסבר פנים יפות, והנה שכרו ופעולתו לפניו, ואין קצבה במעות פורים, כי מן הדין די בנתינת פרוטה, שהוא סכום הקטן שיש בכל מקום (וכגון בארץ ישראל מטבע של עשר אגורות), ומכל מקום כאמור עדיף להרבות במתנות לאביונים מלהרבות בסעודת פורים ובמשלוח מנות.	ופירוש הדבר שתי מנות היינו שני מאכלים שונים, או מאכל ומשקה, כגון עוגה ובקבוק יין, והמנהג כיום לשלוח מיני מתיקה למשלוח מנות. וגם נשים חייבות לשלוח לחברותיהן משלוח מנות. כתב הרמבם (הלכות מגילה פרק ב.) חייב אדם לשלוח לחברו שתי מנות בשר, או שני מיני תבשיל, או שני מיני אכלים, שנאמר: ומשלוח מנות איש לרעהו, שתי מנות לאיש אחד, וכל המרבה לשלוח לרעים הרי זה משובח. וחייב לחלק לעניים מעות או מיני אכלים ביום הפורים, לא פחות משני עניים, שנותן לכל אחד מתנה אחת, שנאמר: ומתנות לאביונים. ומוטב לאדם להרבות במתנות לאביונים יותר מלהרבות בסעודתו ובמשלוח מנות לחברים, שאין שמחה גדולה מפוארה יותר ---> המשך	נאמר במגילת אסתר (ט. כב.) לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים. ובגמרא במסכת מגילה (דף ז.) אמרו משלוח מנות שתי מנות לאיש אחד ומתנות לאביונים שתי מתנות לשני בני אדם.	דין משלוח מנות ומתנות לאביונים
